1925,763,1057,910,1257,1430,971,1638,1422,1318,823,1187,1725,398,1647,1664
1187,1135,442,1716,1344,1560,676,1361,1040,988,1569,1500,1213,1031,771,1101
1803,312,1552,1031,1560,737,1959,1292,797,1153,1708,580,1092,1083,1846,0
624,1630,2323,2679,2601,2141,1491,580,1682,1430,780,2670,2341,2098,1656,1647
1829,3199,3034,3078,2540,2722,3719,2245,2167,2497,3876,1846,3719,2471,3277,1500
2991,1777,3615,2349,3399,2610,3182,2844,3373,3390,2341,3459,2904,3685,2323,2618
2419,4543,1335,2636,1187,2141,3121,4370,1378,2046,1560,1265,2263,2445,4292,2419
4101,1170,1916,979,2228,537,5116,4110,3052,1803,1057,1604,1569,875,2748,3060
1985,2228,1630,1708,632,2124,2982,3511,4517,2549,1630,1430,1265,1543,2211,2696
2323,1239,1777,806,2419,1881,1205,1179,3529,3789,1430,1309,1309,1491,2176,3112
1344,1890,1179,1361,1404,2003,1257,3277,2627,442,2610,1187,2211,1387,2306,2063
1890,1534,1977,1742,1699,1239,1456,4639,2904,2323,1023,2497,1205,1838,2566,2011
624,962,1057,1647,1534,927,4587,2766,5089,1500,2497,659,1951,3043,1942,1144
1257,1638,1751,2332,2748,4925,2159,4500,1855,4344,2419,3390,2792,2610,997,2280
2029,554,1751,1673,3867,2003,4300,2245,4014,2167,3589,2358,3520,780,1768,407
1352,1890,589,1708,858,2809,1465,2393,1023,2523,1292,2453,95,1500,268,1422
