843,1413,1008,1248,652,1074,1413,1190,752,843,934,1628,942,1008,2116,876
1801,1157,2248,578,1719,884,1305,644,1347,1223,1256,1215,851,1595,446,2347
1024,1239,1215,2430,1868,2876,1223,1785,1413,1537,2438,1520,1975,785,0,619
1041,1181,2702,3083,3355,2140,3256,2512,2950,2628,2851,3372,3140,3430,2124,801
867,3000,3132,3240,2463,3661,2330,3339,2545,3174,2653,3207,2983,3016,2678,1281
2347,3322,3314,2496,3545,2769,3678,2454,3050,3157,3231,2843,3322,3058,2463,1405
2802,2818,2917,3331,2413,3554,2496,3165,3041,3240,2884,3273,3355,2578,3273,1082
2868,3116,3182,2463,3521,2975,3355,2818,2752,2785,3174,3025,2330,3529,2016,1173
2744,3132,2884,3694,2744,2769,3198,3273,2620,1958,3264,2735,3207,3140,3645,1264
3463,2016,3422,2479,3306,2769,2289,1504,4132,1595,1016,3306,3570,3347,1909,661
1760,4372,2314,3455,3215,2074,983,4604,2380,2033,1190,1330,2223,1677,1339,1942
1380,1677,2330,1843,975,1223,3273,2182,3777,1628,1181,1380,983,909,1917,1074
1082,1215,1479,1066,1553,851,4041,4017,2901,3504,1884,1165,1768,1711,2322,603
1570,429,1719,1620,2140,3992,2314,3422,3116,2777,3388,2810,2413,2851,388,1818
1553,2314,991,2487,2636,2769,2917,2719,3041,2231,3248,2058,2314,677,1471,529
553,1049,1115,884,1884,2405,1810,1801,1545,2322,1008,1859,785,1396,1066,1124
