1233,887,692,754,1260,1002,647,1313,1020,1091,1127,834,639,1207,976,639
1056,674,985,949,1411,781,1588,124,834,1313,967,1136,878,869,1011,1224
1065,985,1792,2937,2112,2245,1340,1304,1988,1615,2627,2281,2920,1641,1446,754
1242,1508,3239,2804,3150,2423,3319,3505,2076,3869,2138,3896,2352,3133,1535,1038
1712,3044,2920,3674,1970,3594,3062,2476,3656,2227,3186,1970,3745,2485,3443,852
1952,2742,3488,2156,3656,3124,2138,3843,2156,4073,1411,4189,2210,3585,2760,2147
2431,3115,3133,3248,3248,2458,3807,2485,3718,2529,4073,1854,4038,2254,3204,1562
2405,3372,2751,3204,2556,3701,2316,3772,1854,4286,1606,4277,1925,3843,2041,1943
2715,3239,3301,2147,3612,2174,3727,2281,3372,2556,4349,2138,3594,2618,3381,2192
3186,3195,2485,3656,2210,3656,2263,3124,3204,3035,1712,3851,2378,3443,2982,1100
2715,2662,3488,2813,3869,1588,2769,3390,3860,710,3354,2050,3860,2875,2254,1428
1499,3195,2201,2946,2769,1801,1854,3461,2893,2707,408,2218,576,2263,958,1535
346,1464,1854,1322,204,1340,3488,3283,3292,2893,1810,0,2298,1109,2041,825
1082,1233,905,1757,3079,3585,2689,3638,2538,2937,3425,3772,1908,2849,630,1633
470,594,1579,2715,3301,2573,2751,2227,3062,2795,2494,2565,2707,621,896,1020
1650,346,266,1065,1011,1473,1854,1881,1100,2050,1038,1526,701,1082,1189,745
