(0,31) (32,1)
(1,0) (31,32)
(0,30) (32,2)
(2,0) (30,32)
(0,29) (32,3)
(3,0) (29,32)
(0,28) (32,4)
(4,0) (28,32)
(0,27) (32,5)
(5,0) (27,32)
(0,26) (32,6)
(6,0) (26,32)
(0,25) (32,7)
(7,0) (25,32)
(0,24) (32,8)
(8,0) (24,32)
(0,23) (32,9)
(9,0) (23,32)
(0,22) (32,10)
(10,0) (22,32)
(0,21) (32,11)
(11,0) (21,32)
(0,20) (32,12)
(12,0) (20,32)
(0,19) (32,13)
(13,0) (19,32)
(0,18) (32,14)
(14,0) (18,32)
(0,17) (32,15)
(15,0) (17,32)
(0,16) (32,16)
(16,0) (16,32)
(0,15) (32,17)
(15,32) (17,0)
(0,14) (32,18)
(14,32) (18,0)
(0,13) (32,19)
(13,32) (19,0)
(0,12) (32,20)
(12,32) (20,0)
(0,11) (32,21)
(11,32) (21,0)
(0,10) (32,22)
(10,32) (22,0)
(0,9) (32,23)
(9,32) (23,0)
(0,8) (32,24)
(8,32) (24,0)
(0,7) (32,25)
(7,32) (25,0)
(0,6) (32,26)
(6,32) (26,0)
(0,5) (32,27)
(5,32) (27,0)
(0,4) (32,28)
(4,32) (28,0)
(0,3) (32,29)
(3,32) (29,0)
(0,2) (32,30)
(2,32) (30,0)
(0,1) (32,31)
(1,32) (31,0)
