16124,22685,25076,19129,15695,23788,25873,26547,18148,25014,24830,17228,21704,29306,16553,27038,26731,20293,17841,25566,21336,27222,17780,26057,22623,28080,24279,27835,19006,27283,22255,21336,27344,24524,27589,26057,29429,22685,19558,23236,29000,25444,29000,22746,24830,24524,19435,19129,17902,22317,20293,25260,19987,21213,26915,19312,27283,19864,24401,21704,19926,17412,25260,23666
17534,30042,19067,14775,22562,30716,23175,10055,27160,29981,15634,23972,22317,14714,25750,22194,16983,16247,27957,15634,27467,14714,29061,29797,33230,25198,33475,24463,32127,41568,35376,34088,24156,22746,32249,31575,29000,37706,30287,35989,19006,33291,27589,37277,28570,35560,25260,27467,21397,18025,26915,14101,21274,19496,22685,16615,25934,25137,21520,25014,27651,22071,15818,19312
28693,21397,16492,12507,32433,27589,15940,27467,31146,10484,23298,18945,20416,24708,24279,16676,21704,24892,19190,35131,19129,34702,30839,37828,22439,39177,25934,21213,50336,41262,45738,45983,38687,35989,23727,25995,33046,27835,32494,35376,38503,23236,31881,28938,34579,30165,37338,29551,22133,31329,11526,31513,20416,19619,21091,19190,11342,21397,27222,17780,22869,23972,28632,16737
22255,19680,6253,34395,26976,17718,26486,23666,6498,31268,19067,23666,27835,21397,17596,19067,20968,26547,28264,24217,35315,32004,36418,30226,29981,18761,27344,56590,35008,51807,42059,41507,45308,43530,42059,42795,33782,34518,25873,35008,29551,36296,25076,24769,26057,28325,24585,33107,23298,24156,25321,13549,27773,23666,24524,21520,23850,9135,28816,26486,20171,23359,20539,26118
22071,6805,31513,23298,24708,32862,19006,11526,30410,17167,18638,27589,14346,21152,17596,23298,29368,36480,31636,35621,31452,33414,26425,26179,18025,34088,57019,39913,51317,39423,42488,44205,35744,48313,51256,36418,48374,42611,36480,30532,21152,18761,38442,18332,25198,20232,25689,23482,33107,16186,27467,25750,10790,25566,18699,22439,19803,19067,12997,21397,24769,15879,29429,21949
18638,24830,25382,17718,40894,14162,9993,26609,22317,24647,23114,16799,18883,26425,28632,24769,34395,30103,36357,33291,34088,18699,22501,19680,33966,55486,40220,52237,32617,47638,36112,46473,38748,47822,49416,44634,37461,47516,44266,44450,47638,34518,25137,32678,26179,29429,20171,29919,22685,31452,23298,27651,25260,20723,30165,18393,25137,15082,29735,11158,27528,20293,22317,19129
23850,18025,16860,39790,19680,5334,29122,22562,25014,17351,15327,20171,32372,24524,29000,37215,32127,34334,30042,29245,18454,21152,27835,39729,52175,36480,54812,41262,41814,42856,39852,45002,38442,47209,40649,45860,46780,38503,44941,46841,38748,50029,34456,33414,31513,26731,27160,24156,34947,27099,33659,27896,26976,29184,20048,33537,16615,21397,17289,32310,5763,25505,24217,22071
19496,13059,37093,22194,10668,24892,22133,29000,16308,16553,23788,24892,24217,22930,28080,31943,32127,23850,26547,24463,29245,27038,45738,45676,42488,47516,46351,46105,41814,39852,43346,35499,43592,47086,49416,38442,40587,47577,45063,45983,50826,37338,49355,35989,35315,25321,26731,23972,23727,33414,28387,39545,36173,28264,27651,17657,30410,18393,21704,21826,30042,9319,24340,24095
20784,29858,25137,19435,21704,25444,25811,16063,20539,15450,24156,28387,26179,24340,30839,26179,25689,29858,29735,41078,41691,44511,38380,47270,41752,42304,42488,53340,42672,45860,37093,48435,45922,53095,34579,51440,37093,43530,41446,49048,36970,47638,25995,46289,26302,28816,20907,29674,22807,30165,22255,45799,30532,29184,25566,32556,18332,24095,17044,26363,17964,23175,18086,19251
23850,25382,19190,22991,20845,25137,12139,24095,14224,29368,28264,29245,22133,27957,27896,23175,27160,24340,50888,47761,49110,37645,48619,35683,45370,43714,48067,39239,53585,42795,52298,42979,51685,31513,54566,31207,50152,35744,49784,42059,53892,34640,43837,11771,35131,21642,24647,15879,27406,24830,28264,30410,46412,33721,25321,25689,32862,20600,19926,21029,27344,19129,22255,21397
22133,15634,23482,18148,34702,11894,23298,18025,26547,26792,33905,24708,28816,21581,22071,26179,23543,48251,40404,52298,38380,41691,41446,50826,50949,43837,40894,47822,40036,53401,40465,55057,39545,60146,35315,51317,34640,46841,35315,40894,20723,46596,22317,39545,14530,29429,14408,31391,17718,28754,21888,27160,23850,46964,27222,20968,23604,28203,15573,29490,24340,21642,21765,16124
19680,27222,23911,28816,13978,18086,16553,25260,22133,33782,29000,23788,23359,21274,26547,19251,49907,44266,49478,39913,49661,34947,46719,40342,47700,44327,44634,41936,53340,40281,54199,32556,54812,39055,48681,34456,50397,25444,32127,12078,39423,16921,40465,24892,37277,12078,31207,12568,27957,22562,30103,21274,34947,23850,52604,32310,38012,25566,19496,18761,26670,32617,20784,20600
24217,22133,28080,13794,21336,14775,30287,16002,40036,25566,36112,16676,24156,25995,26363,55425,37338,49907,41139,46841,40097,33905,36173,50704,38442,53769,39300,50642,40097,56038,39668,53524,37522,47945,39790,47086,32494,22378,28325,34947,20661,32310,20232,48987,21765,31513,12507,34518,13733,27038,20355,31513,14162,43346,21826,53892,46473,35192,21152,10606,19987,21642,27651,20171
22255,26302,22501,20661,12384,33046,16308,32004,26179,39116,19558,21704,30287,35437,48435,38074,54076,41752,48313,44021,46105,34088,40465,41752,53340,33598,55363,35805,52788,37461,51562,39300,47086,48190,39913,36112,33169,17289,27589,18699,28938,12997,32188,26854,42917,8890,36112,12016,34579,17596,26854,23359,30778,12262,44450,22439,43224,38625,33169,20845,10974,14224,25689,30655
25198,22930,18332,11587,30226,14101,33905,22378,38503,26792,19619,31636,38258,47086,43960,48006,41752,52788,45186,42182,48987,27467,40220,50459,34456,56712,34579,58184,33046,51010,38564,46964,45983,40158,43285,27038,23482,42427,13488,28264,14101,30778,14285,38503,20539,33169,10545,34456,15021,30655,17534,31084,21029,37951,6008,46902,20293,38993,40833,23788,16615,22501,7970,25076
26118,18209,9687,28816,15082,35008,18086,32065,30532,23114,26486,39361,45186,48681,48129,39913,52359,44757,44634,44389,42427,23175,29674,45738,53034,35683,59410,33169,54137,35621,50520,42672,44450,45983,29858,27528,30594,17841,27835,17351,25750,16186,25014,33537,43285,16921,28754,14653,32372,22991,33475,26302,36418,16615,36847,9932,37767,23911,35192,32924,19803,16676,19558,20171
21949,16983,29245,14959,36112,24401,25873,33353,25628,22623,40833,46780,43530,46841,41017,52604,40097,42979,44695,46044,39668,24033,22930,55057,34456,60514,35376,55179,31146,56283,42304,44082,42856,34947,28325,23175,40955,42243,16308,25137,18699,23175,20784,44818,27406,30042,13427,30348,17473,32740,34088,35866,18638,23420,28203,30226,17351,44695,28448,29551,30348,20355,17657,25505
