24707,13330,22945,18118,26048,21910,6856,17697,23060,18923,21527,19612,15858,24324,23290,32445,19880,28001,24822,25320,12104,21604,42979,14671,16663,15284,19497,28269,22715,20302,30223,23558
11108,39570,15207,27580,18271,12296,27925,22332,13445,22868,13828,37654,29687,25358,40680,23175,36505,27312,31257,24362,35586,27158,25396,29380,19957,14479,22562,4137,28154,18693,17161,29878
34475,6435,37424,14709,27005,26469,16509,19727,22638,33019,27043,15628,33824,47690,26699,45775,22025,45507,32138,43630,30414,21527,22868,29304,16088,29878,11645,23558,4251,35394,22255,12142
17773,24975,21834,19267,13521,19382,8963,25856,29074,35432,21298,31679,43745,28269,34705,20608,48840,45584,38842,33172,47652,27886,34360,16394,20876,29457,23290,21527,12104,15054,19804,12181
13560,22753,36773,5899,16586,10495,31525,20110,32062,24439,37041,36811,37348,40834,35701,39838,33939,30644,41447,46924,31066,38650,16241,32215,36697,25741,41676,29035,12985,18425,18808,31832
25435,24247,13253,20225,10687,46235,26967,17314,28423,40221,26277,40757,30644,37386,47422,26354,44319,40565,35049,18310,27350,22792,32636,10955,30797,21604,29916,34398,33364,4060,32751,17122
25396,16586,16088,22179,43553,20455,4328,42864,45047,33555,26507,36045,40680,36160,41868,30951,40949,25358,23443,34322,25741,39225,10036,28844,14594,30453,14288,29648,32483,28882,16739,22294
33555,8810,15437,20608,17812,11606,64009,16586,42596,43975,35586,32483,32636,35624,43017,44319,42136,30108,23251,18961,19574,21834,35547,15513,28691,20225,23366,19382,33211,17582,25664,24362
23404,12679,25741,31793,22792,64698,9078,56041,33747,37731,28499,26354,42672,44932,22562,35356,34437,18731,35394,22715,8159,33326,32100,18999,24975,18808,17773,24132,14288,45124,7086,18348
20263,20493,36811,9576,45315,22447,51100,36505,42174,39723,29227,38612,38842,30338,42289,30644,23366,19689,27695,18578,13943,38344,20148,16433,27541,21259,24400,7278,49184,21949,49261,20570
14134,21221,13368,44664,38152,53781,26277,25052,39493,34743,42519,18042,38688,27580,36811,22945,43285,16663,20915,30797,22447,26239,23787,10572,29150,9844,31142,38382,2451,47959,13368,18999
23519,21451,37999,26316,47461,29878,37846,40068,23902,41715,21566,30185,21298,24132,13675,46924,26009,46388,24056,21527,26584,18425,19689,24630,11759,21834,26277,14364,28959,26660,36007,22255
12296,36237,25703,37501,34283,45124,42213,35471,23290,20608,23902,24171,23366,32062,30185,18808,57420,37271,42404,22179,26316,23443,21183,14977,22255,36237,10036,24898,21642,28576,24017,31755
33019,14058,37693,38076,34398,43477,43209,37156,29380,27273,32751,38076,25243,43324,20072,42864,10955,34398,33249,40872,19306,33555,27120,8082,11759,18425,28154,17429,31755,30299,25550,18042
22677,25243,29533,42328,49989,40259,32138,46694,33172,16586,42596,45545,37654,26890,35356,21872,27925,13024,33364,41944,26929,27963,24860,22638,19344,25243,11223,34628,25894,42519,13024,31755
26929,25550,31181,36505,39416,40412,30721,44932,25128,35586,37501,35586,27350,36237,13713,41715,16816,32981,13943,30070,32062,32368,37807,31066,26201,22332,37041,8082,46158,35241,27733,19459
26354,24822,42634,44281,42174,39072,38152,25320,50333,40719,45354,27695,30299,16509,35816,3639,50717,15820,19267,19650,36543,31410,39110,38880,26124,23366,14019,35241,41102,40987,18348,22562
27580,28499,36007,44128,38191,37731,30797,55888,26852,44281,27350,35892,36007,43592,11913,31066,13598,41332,16663,24056,19497,31027,20991,29572,38382,5669,29150,29802,42749,53781,25971,32943
32215,30261,45124,34207,27695,33747,47116,22485,45545,23634,32291,43362,41293,36965,29265,23098,37616,10993,39531,18195,22715,14326,31257,16203,30185,31181,16624,44434,32981,36811,29074,31104
30491,19076,42634,32713,50410,29457,27656,31257,21796,27427,6512,37233,39531,32789,31793,43477,37309,40336,20685,33364,15667,27771,2566,36658,26431,43017,23941,24171,39761,26469,40872,24515
18501,38995,33096,36926,27043,31525,29035,16011,26469,11951,20263,15437,30874,38688,15245,24017,43745,26737,35126,11951,46848,29227,37846,12832,36543,23213,18310,36084,39493,38037,32981,25626
27810,29418,28461,39186,37080,17773,31410,23098,37156,29802,26775,32100,23519,36045,33287,37080,36582,21451,9155,43017,29342,60523,43438,29878,17275,31104,28078,30299,34666,47844,28959,17697
27695,39914,29150,39455,29304,26316,13866,39953,51674,47767,32636,46350,48457,16854,40642,44396,49797,40489,13943,37386,47805,36620,49682,34858,29304,19306,36160,33287,39723,34973,36888,16318
37539,15169,41447,35854,37195,11491,40489,41906,50027,35241,54279,50333,27695,31908,33402,49376,44588,47920,23060,36773,36926,51253,44434,46771,30797,29074,47422,35739,31027,37156,21949,22102
2949,48112,9614,31640,26890,26431,47001,44205,40068,48227,35394,36773,36505,26737,43362,28537,49261,44894,31410,15552,44549,19536,49414,45928,29150,30491,36352,36352,41523,20417,24362,17275
33594,2183,39531,16816,30223,8235,39493,51866,37501,29035,38880,55850,20915,31449,34168,52785,48801,46694,31295,27580,24209,58225,27235,46196,38344,26009,39416,42021,39110,18042,27388,31908
24017,22523,14441,32253,7316,31564,45737,36122,47805,40757,53513,33862,34858,19842,52057,27963,31142,29955,27541,28499,19842,35701,40719,36199,29533,14441,42289,43324,11645,24783,21336,16931
15973,38037,29074,16471,33900,13177,33249,49836,41600,50180,39416,45928,0,45124,33517,27695,15973,47422,31295,40182,38191,27197,18310,26201,344,32560,40795,25205,33134,18923,22523,13368
20646,4175,27235,25358,20225,52172,16509,39684,36773,32100,44549,1455,62362,15590,57765,23519,41178,45775,26009,12181,29418,19459,40489,10495,29112,17467,31142,35432,19689,19076,18386,22102
20876,16816,7201,39225,22830,22064,45507,18961,20187,28499,10878,65235,6435,44894,15667,51483,45813,36543,32330,25971,25128,19076,15628,39378,18003,49223,25052,31066,23366,24171,10495,20263
30951,19191,16011,15130,52555,25205,39493,46924,37501,24056,35394,7469,42749,12066,33632,26431,51291,24783,22140,33632,35816,34053,27656,20646,31181,19804,27388,13292,11951,22217,14901,20991
19114,27427,20800,13445,10419,16280,29342,34053,31793,31870,25435,35088,16586,28001,25320,38612,40872,22945,34283,20417,29150,27503,24324,22370,16586,24783,14824,9308,31947,8925,31334,15667
